"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","EXCH","TOT","NATUSD","A","2008",1.06704,
"CAN","EXCH","TOT","NATUSD","A","2009",1.143101,
"CAN","EXCH","TOT","NATUSD","A","2010",1.030163,
"CAN","EXCH","TOT","NATUSD","A","2011",0.989531,
"CAN","EXCH","TOT","NATUSD","A","2012",0.999188,
"CAN","EXCH","TOT","NATUSD","A","2013",1.029797,
"CAN","EXCH","TOT","NATUSD","A","2014",1.106105,
"CAN","EXCH","TOT","NATUSD","A","2015",1.279098,
"CZE","EXCH","TOT","NATUSD","A","2005",23.957417,
"CZE","EXCH","TOT","NATUSD","A","2006",22.595583,
"CZE","EXCH","TOT","NATUSD","A","2007",20.293667,
"CZE","EXCH","TOT","NATUSD","A","2008",17.071667,
"CZE","EXCH","TOT","NATUSD","A","2009",19.063,
"CZE","EXCH","TOT","NATUSD","A","2010",19.09825,
"CZE","EXCH","TOT","NATUSD","A","2011",17.695917,
"CZE","EXCH","TOT","NATUSD","A","2012",19.5775,
"CZE","EXCH","TOT","NATUSD","A","2013",19.570583,
"CZE","EXCH","TOT","NATUSD","A","2014",20.7575,
"CZE","EXCH","TOT","NATUSD","A","2015",24.59875,
"DNK","EXCH","TOT","NATUSD","A","2005",5.99691,
"DNK","EXCH","TOT","NATUSD","A","2006",5.946778,
"DNK","EXCH","TOT","NATUSD","A","2007",5.443701,
"DNK","EXCH","TOT","NATUSD","A","2008",5.098131,
"DNK","EXCH","TOT","NATUSD","A","2009",5.360867,
"DNK","EXCH","TOT","NATUSD","A","2010",5.624075,
"DNK","EXCH","TOT","NATUSD","A","2011",5.368712,
"DNK","EXCH","TOT","NATUSD","A","2012",5.792476,
"DNK","EXCH","TOT","NATUSD","A","2013",5.616312,
"DNK","EXCH","TOT","NATUSD","A","2014",5.612467,
"DNK","EXCH","TOT","NATUSD","A","2015",6.727907,
"FIN","EXCH","TOT","NATUSD","A","2005",0.80412,
"FIN","EXCH","TOT","NATUSD","A","2006",0.797141,
"FIN","EXCH","TOT","NATUSD","A","2007",0.730638,
"FIN","EXCH","TOT","NATUSD","A","2008",0.682675,
"FIN","EXCH","TOT","NATUSD","A","2009",0.719843,
"FIN","EXCH","TOT","NATUSD","A","2010",0.755045,
"FIN","EXCH","TOT","NATUSD","A","2011",0.719355,
"FIN","EXCH","TOT","NATUSD","A","2012",0.778294,
"FIN","EXCH","TOT","NATUSD","A","2013",0.753159,
"FIN","EXCH","TOT","NATUSD","A","2014",0.753731,
"FIN","EXCH","TOT","NATUSD","A","2015",0.901659,
"FRA","EXCH","TOT","NATUSD","A","2005",0.80412,
"FRA","EXCH","TOT","NATUSD","A","2006",0.797141,
"FRA","EXCH","TOT","NATUSD","A","2007",0.730638,
"FRA","EXCH","TOT","NATUSD","A","2008",0.682675,
"FRA","EXCH","TOT","NATUSD","A","2009",0.719843,
"FRA","EXCH","TOT","NATUSD","A","2010",0.755045,
"FRA","EXCH","TOT","NATUSD","A","2011",0.719355,
"FRA","EXCH","TOT","NATUSD","A","2012",0.778294,
"FRA","EXCH","TOT","NATUSD","A","2013",0.753159,
"FRA","EXCH","TOT","NATUSD","A","2014",0.753731,
"FRA","EXCH","TOT","NATUSD","A","2015",0.901659,
"DEU","EXCH","TOT","NATUSD","A","2005",0.80412,
"DEU","EXCH","TOT","NATUSD","A","2006",0.797141,
"DEU","EXCH","TOT","NATUSD","A","2007",0.730638,
"DEU","EXCH","TOT","NATUSD","A","2008",0.682675,
"DEU","EXCH","TOT","NATUSD","A","2009",0.719843,
"DEU","EXCH","TOT","NATUSD","A","2010",0.755045,
"DEU","EXCH","TOT","NATUSD","A","2011",0.719355,
"DEU","EXCH","TOT","NATUSD","A","2012",0.778294,
"DEU","EXCH","TOT","NATUSD","A","2013",0.753159,
"DEU","EXCH","TOT","NATUSD","A","2014",0.753731,
"DEU","EXCH","TOT","NATUSD","A","2015",0.901659,
"GRC","EXCH","TOT","NATUSD","A","2005",0.80412,
"GRC","EXCH","TOT","NATUSD","A","2006",0.797141,
"GRC","EXCH","TOT","NATUSD","A","2007",0.730638,
"GRC","EXCH","TOT","NATUSD","A","2008",0.682675,
"GRC","EXCH","TOT","NATUSD","A","2009",0.719843,
"GRC","EXCH","TOT","NATUSD","A","2010",0.755045,
"GRC","EXCH","TOT","NATUSD","A","2011",0.719355,
"GRC","EXCH","TOT","NATUSD","A","2012",0.778294,
"GRC","EXCH","TOT","NATUSD","A","2013",0.753159,
"GRC","EXCH","TOT","NATUSD","A","2014",0.753731,
"GRC","EXCH","TOT","NATUSD","A","2015",0.901659,
"HUN","EXCH","TOT","NATUSD","A","2005",199.5825,
"HUN","EXCH","TOT","NATUSD","A","2006",210.39,
"HUN","EXCH","TOT","NATUSD","A","2007",183.625833,
"HUN","EXCH","TOT","NATUSD","A","2008",172.113333,
"HUN","EXCH","TOT","NATUSD","A","2009",202.341667,
"HUN","EXCH","TOT","NATUSD","A","2010",207.944167,
"HUN","EXCH","TOT","NATUSD","A","2011",201.055,
"HUN","EXCH","TOT","NATUSD","A","2012",225.104167,
"HUN","EXCH","TOT","NATUSD","A","2013",223.695,
"HUN","EXCH","TOT","NATUSD","A","2014",232.601667,
"HUN","EXCH","TOT","NATUSD","A","2015",279.3325,
"ISL","EXCH","TOT","NATUSD","A","2005",62.981667,
"ISL","EXCH","TOT","NATUSD","A","2006",70.18,
"ISL","EXCH","TOT","NATUSD","A","2007",64.055,
"ISL","EXCH","TOT","NATUSD","A","2008",87.947917,
"ISL","EXCH","TOT","NATUSD","A","2009",123.638381,
"ISL","EXCH","TOT","NATUSD","A","2010",122.241811,
"ISL","EXCH","TOT","NATUSD","A","2011",115.95404,
"ISL","EXCH","TOT","NATUSD","A","2012",125.082787,
"ISL","EXCH","TOT","NATUSD","A","2013",122.179121,
"ISL","EXCH","TOT","NATUSD","A","2014",116.767353,
"ISL","EXCH","TOT","NATUSD","A","2015",131.918708,
"IRL","EXCH","TOT","NATUSD","A","2005",0.80412,
"IRL","EXCH","TOT","NATUSD","A","2006",0.797141,
"IRL","EXCH","TOT","NATUSD","A","2007",0.730638,
"IRL","EXCH","TOT","NATUSD","A","2008",0.682675,
"IRL","EXCH","TOT","NATUSD","A","2009",0.719843,
"IRL","EXCH","TOT","NATUSD","A","2010",0.755045,
"IRL","EXCH","TOT","NATUSD","A","2011",0.719355,
"IRL","EXCH","TOT","NATUSD","A","2012",0.778294,
"IRL","EXCH","TOT","NATUSD","A","2013",0.753159,
"IRL","EXCH","TOT","NATUSD","A","2014",0.753731,
"IRL","EXCH","TOT","NATUSD","A","2015",0.901659,
"ITA","EXCH","TOT","NATUSD","A","2005",0.80412,
"ITA","EXCH","TOT","NATUSD","A","2006",0.797141,
"ITA","EXCH","TOT","NATUSD","A","2007",0.730638,
"ITA","EXCH","TOT","NATUSD","A","2008",0.682675,
"ITA","EXCH","TOT","NATUSD","A","2009",0.719843,
"ITA","EXCH","TOT","NATUSD","A","2010",0.755045,
"ITA","EXCH","TOT","NATUSD","A","2011",0.719355,
"ITA","EXCH","TOT","NATUSD","A","2012",0.778294,
"ITA","EXCH","TOT","NATUSD","A","2013",0.753159,
"ITA","EXCH","TOT","NATUSD","A","2014",0.753731,
"ITA","EXCH","TOT","NATUSD","A","2015",0.901659,
"JPN","EXCH","TOT","NATUSD","A","2005",110.218212,
"JPN","EXCH","TOT","NATUSD","A","2006",116.299312,
"JPN","EXCH","TOT","NATUSD","A","2007",117.753529,
"JPN","EXCH","TOT","NATUSD","A","2008",103.359494,
"JPN","EXCH","TOT","NATUSD","A","2009",93.570089,
"JPN","EXCH","TOT","NATUSD","A","2010",87.779875,
"JPN","EXCH","TOT","NATUSD","A","2011",79.80702,
"JPN","EXCH","TOT","NATUSD","A","2012",79.790455,
"JPN","EXCH","TOT","NATUSD","A","2013",97.595658,
"JPN","EXCH","TOT","NATUSD","A","2014",105.944781,
"JPN","EXCH","TOT","NATUSD","A","2015",121.044026,
"KOR","EXCH","TOT","NATUSD","A","2005",1024.116667,
"KOR","EXCH","TOT","NATUSD","A","2006",954.790516,
"KOR","EXCH","TOT","NATUSD","A","2007",929.257262,
"KOR","EXCH","TOT","NATUSD","A","2008",1102.046667,
"KOR","EXCH","TOT","NATUSD","A","2009",1276.93,
"KOR","EXCH","TOT","NATUSD","A","2010",1156.060988,
"KOR","EXCH","TOT","NATUSD","A","2011",1108.292125,
"KOR","EXCH","TOT","NATUSD","A","2012",1126.470826,
"KOR","EXCH","TOT","NATUSD","A","2013",1094.852917,
"KOR","EXCH","TOT","NATUSD","A","2014",1052.960833,
"KOR","EXCH","TOT","NATUSD","A","2015",1131.1575,
"LUX","EXCH","TOT","NATUSD","A","2005",0.80412,
"LUX","EXCH","TOT","NATUSD","A","2006",0.797141,
"LUX","EXCH","TOT","NATUSD","A","2007",0.730638,
"LUX","EXCH","TOT","NATUSD","A","2008",0.682675,
"LUX","EXCH","TOT","NATUSD","A","2009",0.719843,
"LUX","EXCH","TOT","NATUSD","A","2010",0.755045,
"LUX","EXCH","TOT","NATUSD","A","2011",0.719355,
"LUX","EXCH","TOT","NATUSD","A","2012",0.778294,
"LUX","EXCH","TOT","NATUSD","A","2013",0.753159,
"LUX","EXCH","TOT","NATUSD","A","2014",0.753731,
"LUX","EXCH","TOT","NATUSD","A","2015",0.901659,
"MEX","EXCH","TOT","NATUSD","A","2005",10.897892,
"MEX","EXCH","TOT","NATUSD","A","2006",10.899242,
"MEX","EXCH","TOT","NATUSD","A","2007",10.928192,
"MEX","EXCH","TOT","NATUSD","A","2008",11.129717,
"MEX","EXCH","TOT","NATUSD","A","2009",13.513475,
"MEX","EXCH","TOT","NATUSD","A","2010",12.636008,
"MEX","EXCH","TOT","NATUSD","A","2011",12.423325,
"MEX","EXCH","TOT","NATUSD","A","2012",13.169458,
"MEX","EXCH","TOT","NATUSD","A","2013",12.771992,
"MEX","EXCH","TOT","NATUSD","A","2014",13.29245,
"MEX","EXCH","TOT","NATUSD","A","2015",15.848267,
"NLD","EXCH","TOT","NATUSD","A","2005",0.80412,
"NLD","EXCH","TOT","NATUSD","A","2006",0.797141,
"NLD","EXCH","TOT","NATUSD","A","2007",0.730638,
"NLD","EXCH","TOT","NATUSD","A","2008",0.682675,
"NLD","EXCH","TOT","NATUSD","A","2009",0.719843,
"NLD","EXCH","TOT","NATUSD","A","2010",0.755045,
"NLD","EXCH","TOT","NATUSD","A","2011",0.719355,
"NLD","EXCH","TOT","NATUSD","A","2012",0.778294,
"NLD","EXCH","TOT","NATUSD","A","2013",0.753159,
"NLD","EXCH","TOT","NATUSD","A","2014",0.753731,
"NLD","EXCH","TOT","NATUSD","A","2015",0.901659,
"NZL","EXCH","TOT","NATUSD","A","2005",1.420273,
"NZL","EXCH","TOT","NATUSD","A","2006",1.542056,
"NZL","EXCH","TOT","NATUSD","A","2007",1.360675,
"NZL","EXCH","TOT","NATUSD","A","2008",1.422727,
"NZL","EXCH","TOT","NATUSD","A","2009",1.600877,
"NZL","EXCH","TOT","NATUSD","A","2010",1.387834,
"NZL","EXCH","TOT","NATUSD","A","2011",1.265811,
"NZL","EXCH","TOT","NATUSD","A","2012",1.234284,
"NZL","EXCH","TOT","NATUSD","A","2013",1.219408,
"NZL","EXCH","TOT","NATUSD","A","2014",1.205433,
"NZL","EXCH","TOT","NATUSD","A","2015",1.433975,
"NOR","EXCH","TOT","NATUSD","A","2005",6.4425,
"NOR","EXCH","TOT","NATUSD","A","2006",6.413333,
"NOR","EXCH","TOT","NATUSD","A","2007",5.861667,
"NOR","EXCH","TOT","NATUSD","A","2008",5.64,
"NOR","EXCH","TOT","NATUSD","A","2009",6.288333,
"NOR","EXCH","TOT","NATUSD","A","2010",6.044167,
"NOR","EXCH","TOT","NATUSD","A","2011",5.604607,
"NOR","EXCH","TOT","NATUSD","A","2012",5.8175,
"NOR","EXCH","TOT","NATUSD","A","2013",5.875,
"NOR","EXCH","TOT","NATUSD","A","2014",6.301667,
"NOR","EXCH","TOT","NATUSD","A","2015",8.064167,
"POL","EXCH","TOT","NATUSD","A","2005",3.235483,
"POL","EXCH","TOT","NATUSD","A","2006",3.103158,
"POL","EXCH","TOT","NATUSD","A","2007",2.76795,
"POL","EXCH","TOT","NATUSD","A","2008",2.409242,
"POL","EXCH","TOT","NATUSD","A","2009",3.120142,
"POL","EXCH","TOT","NATUSD","A","2010",3.0153,
"POL","EXCH","TOT","NATUSD","A","2011",2.962848,
"POL","EXCH","TOT","NATUSD","A","2012",3.256542,
"POL","EXCH","TOT","NATUSD","A","2013",3.160617,
"POL","EXCH","TOT","NATUSD","A","2014",3.154542,
"POL","EXCH","TOT","NATUSD","A","2015",3.7695,
"PRT","EXCH","TOT","NATUSD","A","2005",0.80412,
"PRT","EXCH","TOT","NATUSD","A","2006",0.797141,
"PRT","EXCH","TOT","NATUSD","A","2007",0.730638,
"PRT","EXCH","TOT","NATUSD","A","2008",0.682675,
"PRT","EXCH","TOT","NATUSD","A","2009",0.719843,
"PRT","EXCH","TOT","NATUSD","A","2010",0.755045,
"PRT","EXCH","TOT","NATUSD","A","2011",0.719355,
"PRT","EXCH","TOT","NATUSD","A","2012",0.778294,
"PRT","EXCH","TOT","NATUSD","A","2013",0.753159,
"PRT","EXCH","TOT","NATUSD","A","2014",0.753731,
"PRT","EXCH","TOT","NATUSD","A","2015",0.901659,
"SVK","EXCH","TOT","NATUSD","A","2005",1.029617,
"SVK","EXCH","TOT","NATUSD","A","2006",0.985768,
"SVK","EXCH","TOT","NATUSD","A","2007",0.819702,
"SVK","EXCH","TOT","NATUSD","A","2008",0.709069,
"SVK","EXCH","TOT","NATUSD","A","2009",0.719843,
"SVK","EXCH","TOT","NATUSD","A","2010",0.755045,
"SVK","EXCH","TOT","NATUSD","A","2011",0.719355,
"SVK","EXCH","TOT","NATUSD","A","2012",0.778294,
"SVK","EXCH","TOT","NATUSD","A","2013",0.753159,
"SVK","EXCH","TOT","NATUSD","A","2014",0.753731,
"SVK","EXCH","TOT","NATUSD","A","2015",0.901659,
"ESP","EXCH","TOT","NATUSD","A","2005",0.80412,
"ESP","EXCH","TOT","NATUSD","A","2006",0.797141,
"ESP","EXCH","TOT","NATUSD","A","2007",0.730638,
"ESP","EXCH","TOT","NATUSD","A","2008",0.682675,
"ESP","EXCH","TOT","NATUSD","A","2009",0.719843,
"ESP","EXCH","TOT","NATUSD","A","2010",0.755045,
"ESP","EXCH","TOT","NATUSD","A","2011",0.719355,
"ESP","EXCH","TOT","NATUSD","A","2012",0.778294,
"ESP","EXCH","TOT","NATUSD","A","2013",0.753159,
"ESP","EXCH","TOT","NATUSD","A","2014",0.753731,
"ESP","EXCH","TOT","NATUSD","A","2015",0.901659,
"SWE","EXCH","TOT","NATUSD","A","2005",7.473088,
"SWE","EXCH","TOT","NATUSD","A","2006",7.378249,
"SWE","EXCH","TOT","NATUSD","A","2007",6.75877,
"SWE","EXCH","TOT","NATUSD","A","2008",6.591099,
"SWE","EXCH","TOT","NATUSD","A","2009",7.653819,
"SWE","EXCH","TOT","NATUSD","A","2010",7.207524,
"SWE","EXCH","TOT","NATUSD","A","2011",6.493543,
"SWE","EXCH","TOT","NATUSD","A","2012",6.775016,
"SWE","EXCH","TOT","NATUSD","A","2013",6.513972,
"SWE","EXCH","TOT","NATUSD","A","2014",6.860785,
"SWE","EXCH","TOT","NATUSD","A","2015",8.434841,
"CHE","EXCH","TOT","NATUSD","A","2005",1.245177,
"CHE","EXCH","TOT","NATUSD","A","2006",1.253843,
"CHE","EXCH","TOT","NATUSD","A","2007",1.200366,
"CHE","EXCH","TOT","NATUSD","A","2008",1.08309,
"CHE","EXCH","TOT","NATUSD","A","2009",1.088142,
"CHE","EXCH","TOT","NATUSD","A","2010",1.042906,
"CHE","EXCH","TOT","NATUSD","A","2011",0.888042,
"CHE","EXCH","TOT","NATUSD","A","2012",0.937684,
"CHE","EXCH","TOT","NATUSD","A","2013",0.926904,
"CHE","EXCH","TOT","NATUSD","A","2014",0.916151,
"CHE","EXCH","TOT","NATUSD","A","2015",0.962381,
"TUR","EXCH","TOT","NATUSD","A","2005",1.343583,
"TUR","EXCH","TOT","NATUSD","A","2006",1.428453,
"TUR","EXCH","TOT","NATUSD","A","2007",1.302931,
"TUR","EXCH","TOT","NATUSD","A","2008",1.301522,
"TUR","EXCH","TOT","NATUSD","A","2009",1.54996,
"TUR","EXCH","TOT","NATUSD","A","2010",1.502849,
"TUR","EXCH","TOT","NATUSD","A","2011",1.674955,
"TUR","EXCH","TOT","NATUSD","A","2012",1.796001,
"TUR","EXCH","TOT","NATUSD","A","2013",1.903768,
"TUR","EXCH","TOT","NATUSD","A","2014",2.188542,
"TUR","EXCH","TOT","NATUSD","A","2015",2.720009,
"GBR","EXCH","TOT","NATUSD","A","2005",0.549998,
"GBR","EXCH","TOT","NATUSD","A","2006",0.543487,
"GBR","EXCH","TOT","NATUSD","A","2007",0.499772,
"GBR","EXCH","TOT","NATUSD","A","2008",0.543966,
"GBR","EXCH","TOT","NATUSD","A","2009",0.641919,
"GBR","EXCH","TOT","NATUSD","A","2010",0.647179,
"GBR","EXCH","TOT","NATUSD","A","2011",0.624141,
"GBR","EXCH","TOT","NATUSD","A","2012",0.633047,
"GBR","EXCH","TOT","NATUSD","A","2013",0.639661,
"GBR","EXCH","TOT","NATUSD","A","2014",0.60773,
"GBR","EXCH","TOT","NATUSD","A","2015",0.654545,
"USA","EXCH","TOT","NATUSD","A","2005",1,
"USA","EXCH","TOT","NATUSD","A","2006",1,
"USA","EXCH","TOT","NATUSD","A","2007",1,
"USA","EXCH","TOT","NATUSD","A","2008",1,
"USA","EXCH","TOT","NATUSD","A","2009",1,
"USA","EXCH","TOT","NATUSD","A","2010",1,
"USA","EXCH","TOT","NATUSD","A","2011",1,
"USA","EXCH","TOT","NATUSD","A","2012",1,
"USA","EXCH","TOT","NATUSD","A","2013",1,
"USA","EXCH","TOT","NATUSD","A","2014",1,
"USA","EXCH","TOT","NATUSD","A","2015",1,
"BRA","EXCH","TOT","NATUSD","A","2005",2.43439,
"BRA","EXCH","TOT","NATUSD","A","2006",2.175327,
"BRA","EXCH","TOT","NATUSD","A","2007",1.947058,
"BRA","EXCH","TOT","NATUSD","A","2008",1.833767,
"BRA","EXCH","TOT","NATUSD","A","2009",1.999428,
"BRA","EXCH","TOT","NATUSD","A","2010",1.759227,
"BRA","EXCH","TOT","NATUSD","A","2011",1.672829,
"BRA","EXCH","TOT","NATUSD","A","2012",1.953069,
"BRA","EXCH","TOT","NATUSD","A","2013",2.156089,
"BRA","EXCH","TOT","NATUSD","A","2014",2.352952,
"BRA","EXCH","TOT","NATUSD","A","2015",3.326904,
"CHL","EXCH","TOT","NATUSD","A","2005",559.7675,
"CHL","EXCH","TOT","NATUSD","A","2006",530.275,
"CHL","EXCH","TOT","NATUSD","A","2007",522.464167,
"CHL","EXCH","TOT","NATUSD","A","2008",522.461036,
"CHL","EXCH","TOT","NATUSD","A","2009",560.859895,
"CHL","EXCH","TOT","NATUSD","A","2010",510.249167,
"CHL","EXCH","TOT","NATUSD","A","2011",483.6675,
"CHL","EXCH","TOT","NATUSD","A","2012",486.471303,
"CHL","EXCH","TOT","NATUSD","A","2013",495.272878,
"CHL","EXCH","TOT","NATUSD","A","2014",570.348216,
"CHL","EXCH","TOT","NATUSD","A","2015",654.124084,
"CHN","EXCH","TOT","NATUSD","A","2005",8.194317,
"CHN","EXCH","TOT","NATUSD","A","2006",7.973438,
"CHN","EXCH","TOT","NATUSD","A","2007",7.607532,
"CHN","EXCH","TOT","NATUSD","A","2008",6.948655,
"CHN","EXCH","TOT","NATUSD","A","2009",6.831416,
"CHN","EXCH","TOT","NATUSD","A","2010",6.770269,
"CHN","EXCH","TOT","NATUSD","A","2011",6.461461,
"CHN","EXCH","TOT","NATUSD","A","2012",6.312333,
"CHN","EXCH","TOT","NATUSD","A","2013",6.195758,
"CHN","EXCH","TOT","NATUSD","A","2014",6.143434,
"CHN","EXCH","TOT","NATUSD","A","2015",6.227489,
"COL","EXCH","TOT","NATUSD","A","2005",2320.834177,
"COL","EXCH","TOT","NATUSD","A","2006",2361.139407,
"COL","EXCH","TOT","NATUSD","A","2007",2078.291837,
"COL","EXCH","TOT","NATUSD","A","2008",1967.711309,
"COL","EXCH","TOT","NATUSD","A","2009",2158.255903,
"COL","EXCH","TOT","NATUSD","A","2010",1898.569636,
"COL","EXCH","TOT","NATUSD","A","2011",1848.13947,
"COL","EXCH","TOT","NATUSD","A","2012",1796.895912,
"COL","EXCH","TOT","NATUSD","A","2013",1868.785327,
"COL","EXCH","TOT","NATUSD","A","2014",2001.781048,
"COL","EXCH","TOT","NATUSD","A","2015",2741.880855,
"EST","EXCH","TOT","NATUSD","A","2005",0.804251,
"EST","EXCH","TOT","NATUSD","A","2006",0.79669,
"EST","EXCH","TOT","NATUSD","A","2007",0.730756,
"EST","EXCH","TOT","NATUSD","A","2008",0.683499,
"EST","EXCH","TOT","NATUSD","A","2009",0.719481,
"EST","EXCH","TOT","NATUSD","A","2010",0.754595,
"EST","EXCH","TOT","NATUSD","A","2011",0.719355,
"EST","EXCH","TOT","NATUSD","A","2012",0.778294,
"EST","EXCH","TOT","NATUSD","A","2013",0.753159,
"EST","EXCH","TOT","NATUSD","A","2014",0.753731,
"EST","EXCH","TOT","NATUSD","A","2015",0.901659,
"IND","EXCH","TOT","NATUSD","A","2005",44.099975,
"IND","EXCH","TOT","NATUSD","A","2006",45.307008,
"IND","EXCH","TOT","NATUSD","A","2007",41.348533,
"IND","EXCH","TOT","NATUSD","A","2008",43.505183,
"IND","EXCH","TOT","NATUSD","A","2009",48.405267,
"IND","EXCH","TOT","NATUSD","A","2010",45.725812,
"IND","EXCH","TOT","NATUSD","A","2011",46.670467,
"IND","EXCH","TOT","NATUSD","A","2012",53.437233,
"IND","EXCH","TOT","NATUSD","A","2013",58.597845,
"IND","EXCH","TOT","NATUSD","A","2014",61.029514,
"IND","EXCH","TOT","NATUSD","A","2015",64.151944,
"IDN","EXCH","TOT","NATUSD","A","2005",9704.741667,
"IDN","EXCH","TOT","NATUSD","A","2006",9159.316667,
"IDN","EXCH","TOT","NATUSD","A","2007",9141,
"IDN","EXCH","TOT","NATUSD","A","2008",9698.9625,
"IDN","EXCH","TOT","NATUSD","A","2009",10389.9375,
"IDN","EXCH","TOT","NATUSD","A","2010",9090.433333,
"IDN","EXCH","TOT","NATUSD","A","2011",8770.433333,
"IDN","EXCH","TOT","NATUSD","A","2012",9386.629167,
"IDN","EXCH","TOT","NATUSD","A","2013",10461.24,
"IDN","EXCH","TOT","NATUSD","A","2014",11865.211296,
"IDN","EXCH","TOT","NATUSD","A","2015",13389.412937,
"ISR","EXCH","TOT","NATUSD","A","2005",4.4877,
"ISR","EXCH","TOT","NATUSD","A","2006",4.455808,
"ISR","EXCH","TOT","NATUSD","A","2007",4.108083,
"ISR","EXCH","TOT","NATUSD","A","2008",3.588021,
"ISR","EXCH","TOT","NATUSD","A","2009",3.932335,
"ISR","EXCH","TOT","NATUSD","A","2010",3.738975,
"ISR","EXCH","TOT","NATUSD","A","2011",3.578129,
"ISR","EXCH","TOT","NATUSD","A","2012",3.855922,
"ISR","EXCH","TOT","NATUSD","A","2013",3.610758,
"ISR","EXCH","TOT","NATUSD","A","2014",3.577925,
"ISR","EXCH","TOT","NATUSD","A","2015",3.886833,
"RUS","EXCH","TOT","NATUSD","A","2005",28.284442,
"RUS","EXCH","TOT","NATUSD","A","2006",27.190958,
"RUS","EXCH","TOT","NATUSD","A","2007",25.580845,
"RUS","EXCH","TOT","NATUSD","A","2008",24.852875,
"RUS","EXCH","TOT","NATUSD","A","2009",31.740358,
"RUS","EXCH","TOT","NATUSD","A","2010",30.367915,
"RUS","EXCH","TOT","NATUSD","A","2011",29.382341,
"RUS","EXCH","TOT","NATUSD","A","2012",30.839831,
"RUS","EXCH","TOT","NATUSD","A","2013",31.837144,
"RUS","EXCH","TOT","NATUSD","A","2014",38.378207,
"RUS","EXCH","TOT","NATUSD","A","2015",60.93765,
"SVN","EXCH","TOT","NATUSD","A","2005",0.804146,
"SVN","EXCH","TOT","NATUSD","A","2006",0.797147,
"SVN","EXCH","TOT","NATUSD","A","2007",0.730638,
"SVN","EXCH","TOT","NATUSD","A","2008",0.682675,
"SVN","EXCH","TOT","NATUSD","A","2009",0.719843,
"SVN","EXCH","TOT","NATUSD","A","2010",0.755045,
"SVN","EXCH","TOT","NATUSD","A","2011",0.719355,
"SVN","EXCH","TOT","NATUSD","A","2012",0.778294,
"SVN","EXCH","TOT","NATUSD","A","2013",0.753159,
"SVN","EXCH","TOT","NATUSD","A","2014",0.753731,
"SVN","EXCH","TOT","NATUSD","A","2015",0.901659,
"ZAF","EXCH","TOT","NATUSD","A","2005",6.359328,
"ZAF","EXCH","TOT","NATUSD","A","2006",6.771549,
"ZAF","EXCH","TOT","NATUSD","A","2007",7.045365,
"ZAF","EXCH","TOT","NATUSD","A","2008",8.261223,
"ZAF","EXCH","TOT","NATUSD","A","2009",8.473674,
"ZAF","EXCH","TOT","NATUSD","A","2010",7.321222,
"ZAF","EXCH","TOT","NATUSD","A","2011",7.261132,
"ZAF","EXCH","TOT","NATUSD","A","2012",8.209969,
"ZAF","EXCH","TOT","NATUSD","A","2013",9.655056,
"ZAF","EXCH","TOT","NATUSD","A","2014",10.852656,
